time,energy_full,energy_proj,E_ZZ_full,E_X_full,E_ZZ_proj,E_X_proj
0,-7,-7,-7,0,-7,-6.55587e-15
0.05,-2.56111,-2.99514,-2.80165,0.240539,-3.27063,0.275494
0.1,-0.348615,-0.706269,-0.4865,0.137885,-0.927434,0.221164
0.15,-0.0909089,-0.0104918,-0.0764073,-0.0145017,-0.0682024,0.0577106
0.2,-0.866885,-0.389181,-0.829589,-0.0372953,-0.34333,-0.0458512
0.25,-1.64671,-1.15447,-1.7288,0.0820883,-1.1364,-0.0180725
0.3,-1.79584,-1.71286,-2.03375,0.237912,-1.8274,0.114537
0.35,-1.28378,-1.75759,-1.59408,0.310301,-2.02464,0.267049
0.4,-0.53149,-1.31949,-0.785486,0.253996,-1.67262,0.353128
0.45,-0.0415927,-0.672346,-0.161954,0.120362,-1.00405,0.331708
0.5,-0.0590546,-0.152234,-0.0690037,0.00994906,-0.375589,0.223354
0.55,-0.456555,0.0185669,-0.453774,-0.00278095,-0.0742153,0.0927822
0.6,-0.876509,-0.175319,-0.958022,0.0815136,-0.185853,0.0105339
0.65,-1.00051,-0.563546,-1.19506,0.194547,-0.579063,0.0155166
0.7,-0.755482,-0.899953,-1.00912,0.253634,-0.997384,0.0974317
0.75,-0.331134,-0.996547,-0.551257,0.220123,-1.20283,0.206281
0.8,-0.0205752,-0.812596,-0.143236,0.122661,-1.09433,0.281731
0.85,-0.00989015,-0.459311,-0.0421256,0.0322354,-0.744869,0.285558
0.9,-0.262376,-0.126574,-0.272241,0.00986429,-0.346671,0.220097
0.95,-0.565251,0.02343,-0.630172,0.0649214,-0.100689,0.124119
1,-0.691545,-0.0617461,-0.843619,0.152074,-0.11159,0.0498438
1.05,-0.556991,-0.307019,-0.763349,0.206359,-0.341381,0.0343618
1.1,-0.26578,-0.559899,-0.455472,0.189692,-0.640727,0.0808277
1.15,-0.0233135,-0.676953,-0.139217,0.115904,-0.835693,0.15874
1.2,0.0137155,-0.598731,-0.0244725,0.038188,-0.820821,0.22209
1.25,-0.157688,-0.374871,-0.167493,0.00980578,-0.609707,0.234837
1.3,-0.395621,-0.129798,-0.442447,0.0468266,-0.31967,0.189872
1.35,-0.521764,0.00877857,-0.640498,0.118734,-0.102945,0.111724
1.4,-0.447859,-0.0216225,-0.619903,0.172044,-0.063926,0.0423035
1.45,-0.231511,-0.18884,-0.400366,0.168855,-0.206781,0.0179411
1.5,-0.0270861,-0.388971,-0.139804,0.112718,-0.439177,0.050206
1.55,0.0278598,-0.506355,-0.0164602,0.04432,-0.626845,0.120489
1.6,-0.0920964,-0.476586,-0.103403,0.0113061,-0.667273,0.190687
1.65,-0.288493,-0.318699,-0.322961,0.0344677,-0.542469,0.22377
1.7,-0.41445,-0.120872,-0.508569,0.0941185,-0.323966,0.203094
1.75,-0.38012,0.0104769,-0.525557,0.145437,-0.129904,0.140381
1.8,-0.212953,0.00919429,-0.36389,0.150937,-0.0594416,0.0686359
1.85,-0.0328801,-0.116275,-0.139547,0.106667,-0.140542,0.0242669
1.9,0.0361901,-0.290194,-0.00779077,0.0439809,-0.318323,0.0281289
1.95,-0.046335,-0.412926,-0.0527574,0.00642235,-0.488319,0.0753926
2,-0.212726,-0.415728,-0.231484,0.0187572,-0.554851,0.139123
2.05,-0.339036,-0.297054,-0.409136,0.0700996,-0.482186,0.185132
2.1,-0.334525,-0.121471,-0.45707,0.122545,-0.31139,0.189919
2.15,-0.204168,0.0170288,-0.34267,0.138502,-0.135248,0.152276
2.2,-0.0414799,0.0465052,-0.148514,0.107034,-0.0463564,0.0928616
2.25,0.040571,-0.0447545,-0.01022,0.050791,-0.0872893,0.0425348
2.3,-0.0102943,-0.203428,-0.0195269,0.00923261,-0.229478,0.0260498
2.35,-0.15113,-0.341344,-0.161666,0.010536,-0.391105,0.0497604
2.4,-0.277377,-0.38351,-0.329536,0.052159,-0.482983,0.0994729
2.45,-0.298536,-0.307812,-0.401948,0.103412,-0.456795,0.148983
2.5,-0.201258,-0.155425,-0.328907,0.127649,-0.32968,0.174255
2.55,-0.0559945,-0.00721127,-0.16404,0.108045,-0.172758,0.165546
2.6,0.0354681,0.0603482,-0.0233854,0.0588535,-0.0709518,0.1313
2.65,0.0126749,0.0156243,-0.00199556,0.0146705,-0.0766622,0.0922865
2.7,-0.102396,-0.112714,-0.10818,0.00578398,-0.182415,0.0697007
2.75,-0.223619,-0.252752,-0.260792,0.0371729,-0.32663,0.0738785
2.8,-0.263531,-0.328823,-0.349243,0.0857118,-0.428415,0.0995916
2.85,-0.194989,-0.30175,-0.312028,0.117039,-0.431788,0.130037
2.9,-0.0683007,-0.188404,-0.178098,0.109798,-0.335282,0.146878
2.95,0.0267937,-0.0508207,-0.0433503,0.070144,-0.191392,0.140571
3,0.0257414,0.038349,-0.00093257,0.026674,-0.077011,0.11536
3.05,-0.0660145,0.0348929,-0.0758433,0.00982888,-0.0515389,0.0864319
