time,magnetization_full,magnetization_proj
0,1,1
0.05,0.402022,0.469196
0.1,0.0727657,0.136729
0.15,0.0134041,0.0140789
0.2,0.119524,0.0518473
0.25,0.24795,0.163826
0.3,0.293497,0.262906
0.35,0.233388,0.29328
0.4,0.119398,0.2459
0.45,0.0297372,0.152442
0.5,0.0144522,0.0627835
0.55,0.0676836,0.0179481
0.6,0.139643,0.0312539
0.65,0.175193,0.0853694
0.7,0.150908,0.144719
0.75,0.0868435,0.175462
0.8,0.0281874,0.16241
0.85,0.0121407,0.114797
0.9,0.0434902,0.0591039
0.95,0.0943516,0.0237416
1,0.12604,0.0241157
1.05,0.116395,0.0556619
1.1,0.0736088,0.0977989
1.15,0.0282389,0.125922
1.2,0.010508,0.124628
1.25,0.0294793,0.0952094
1.3,0.0682386,0.0538792
1.35,0.0973072,0.0222558
1.4,0.0958666,0.0155692
1.45,0.0656735,0.0349266
1.5,0.0284981,0.067486
1.55,0.00982539,0.0940236
1.6,0.0208884,0.0995128
1.65,0.0515851,0.0809668
1.7,0.0786204,0.0485147
1.75,0.0824283,0.0194426
1.8,0.0606615,0.00866355
1.85,0.0290214,0.0208207
1.9,0.00944727,0.0481523
1.95,0.0144852,0.0750339
2,0.0389136,0.0865462
2.05,0.0641559,0.076384
2.1,0.0718512,0.0499403
2.15,0.0567135,0.0210965
2.2,0.0297177,0.0046214
2.25,0.00977041,0.00833718
2.3,0.0101461,0.0291913
2.35,0.0293857,0.0551798
2.4,0.0528606,0.0719257
2.45,0.0635119,0.0703059
2.5,0.0539044,0.0510926
2.55,0.0311024,0.0242703
2.6,0.0112054,0.00355767
2.65,0.00773704,-0.000847065
2.7,0.0222397,0.0125466
2.75,0.0435956,0.0360316
2.8,0.056253,0.0570015
2.85,0.0512893,0.0646309
2.9,0.0324557,0.0553854
2.95,0.0131279,0.034552
3,0.00660258,0.0131583
3.05,0.0167659,0.00206035
3.1,0.0356722,0.00637441
3.15,0.0495086,0.023109
3.2,0.0484859,0.0430727
3.25,0.0335842,0.0558737
3.3,0.0155123,0.0552874
3.35,0.00686402,0.0422114
3.4,0.0132002,0.0238155
3.45,0.0293631,0.0095297
3.5,0.0434507,0.00611057
3.55,0.0454127,0.0143769
3.6,0.0340703,0.0291923
3.65,0.0176635,0.0425006
3.7,0.00774101,0.0476521
3.75,0.010907,0.0427015
3.8,0.0243134,0.0310433
3.85,0.037967,0.019243
3.9,0.0420168,0.0133936
3.95,0.0337197,0.0160032
4,0.019169,0.0249997
