time,variance_full,variance_proj
0,5.12,5.12
0.05,12.6611,13.5142
0.1,2.37021,4.59151
0.15,0.857163,0.207215
0.2,6.00782,3.15104
0.25,9.63136,7.60864
0.3,9.91332,9.82724
0.35,7.57522,9.65282
0.4,3.53417,7.62449
0.45,0.481416,4.29674
0.5,0.776164,1.24373
0.55,3.41495,0.33535
0.6,5.6791,1.83667
0.65,6.11961,4.22652
0.7,4.72306,5.84727
0.75,2.27474,6.03463
0.8,0.393048,4.8835
0.85,0.479025,2.88171
0.9,2.19269,0.97411
0.95,3.92287,0.248785
1,4.46153,1.07468
1.05,3.59143,2.74899
1.1,1.85231,4.15765
1.15,0.389426,4.59264
1.2,0.274731,3.94087
1.25,1.4713,2.52256
1.3,2.89749,1.01303
1.35,3.51744,0.228652
1.4,2.99912,0.595167
1.45,1.68675,1.79254
1.5,0.44615,3.03501
1.55,0.175386,3.65446
1.6,1.01249,3.39922
1.65,2.20823,2.41456
1.7,2.87037,1.17693
1.75,2.60179,0.342412
1.8,1.5948,0.367228
1.85,0.514841,1.1648
1.9,0.136418,2.19287
1.95,0.705959,2.87272
2,1.70966,2.89883
2.05,2.38131,2.28777
2.1,2.29251,1.34224
2.15,1.52254,0.565163
2.2,0.582838,0.395632
2.25,0.14397,0.888867
2.3,0.516344,1.68007
2.35,1.36016,2.28384
2.4,2.01737,2.39983
2.45,2.04688,1.9966
2.5,1.44797,1.27451
2.55,0.618512,0.608683
2.6,0.143102,0.38393
2.65,0.368316,0.728617
2.7,1.08816,1.3996
2.75,1.73792,1.9719
2.8,1.86728,2.13476
2.85,1.40675,1.82711
2.9,0.664607,1.20857
2.95,0.157048,0.58986
3,0.25416,0.313503
3.05,0.860146,0.548663
3.1,1.49937,1.14756
3.15,1.71993,1.74045
3.2,1.38805,1.99326
3.25,0.728806,1.78841
3.3,0.195501,1.23793
3.35,0.171509,0.614767
3.4,0.655029,0.245013
3.45,1.26133,0.337385
3.5,1.55444,0.832271
3.55,1.3498,1.42898
3.6,0.79311,1.79132
3.65,0.268913,1.74463
3.7,0.155462,1.33221
3.75,0.523312,0.769344
3.8,1.07239,0.352523
3.85,1.39589,0.314643
3.9,1.28093,0.671025
3.95,0.814036,1.19525
4,0.317517,1.57555
